tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
214188,DPW Maintained,Schinus terebinthifolius :: Brazilian Pepper,358 San Benito Way,1,Sidewalk: Curb side : Cutout,Private,2/3/1972,21,Width 3ft,37.73018781,-122.4672748
84622,DPW Maintained,Jacaranda mimosifolia :: Jacaranda,382 Texas St,1,Sidewalk: Curb side : Cutout,Private,10/21/2006,5,,37.7616462,-122.3955806
79685,Permitted Site,Pinus radiata :: Monterey Pine,2 Hahn St,1,Sidewalk: Curb side : Cutout,Private,4/18/2008,,3x3,37.71455777,-122.4149207
61760,Permitted Site,Maytenus boaria :: Mayten,3739 Landers St,1,Sidewalk: Curb side : Cutout,Private,12/19/1984,,,,
46162,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1596 Howard St,1,Sidewalk: Curb side : Cutout,Private,6/26/2006,3,,37.77212887,-122.4167161
45117,Permitted Site,Crataegus laevigata :: English Hawthorn,201 Buena Vista Ave East,3,Sidewalk: Curb side : Cutout,Private,5/14/2001,,,37.76894772,-122.4383033
52686,DPW Maintained,Ulmus spp :: Elm Spp,1616@ BROADWAY Taylor St,1,Sidewalk: Curb side : Cutout,Private,3/30/2006,4,,37.79734437,-122.4135441
59999,Permitted Site,Maytenus boaria :: Mayten,1223 15th Ave,1,Sidewalk: Curb side : Cutout,Private,1/23/1982,,,37.76518194,-122.4729805
220311,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,4235 19th St,4,Sidewalk: Curb side : Cutout,SFUSD,8/5/1995,18,Width 3ft,37.75914967,-122.4363588
50919,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2211 Cecelia Ave,1,Sidewalk: Curb side : Cutout,Private,4/26/2004,,,37.74591894,-122.4721311
85841,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1314 Howard St,2,Sidewalk: Curb side : Cutout,Private,5/16/2007,3,3x3,37.77496175,-122.4132039
32220,DPW Maintained,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,564 Precita Ave,1,Sidewalk: Curb side : Cutout,Private,8/22/1995,13,,37.74743372,-122.4096834
30379,DPW Maintained,Maytenus boaria :: Mayten,826 Arkansas St,1,Sidewalk: Curb side : Cutout,Private,3/2/1956,9,,37.75572034,-122.3978799
151570,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1300x Vermont St,2,Side Yard : Cutout,Private,6/22/2019,3,Width 4ft,37.75297236,-122.4034844
110847,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2668 Vallejo St,1,Sidewalk: Curb side : Cutout,Private,10/27/2016,3,3x3,37.79453244,-122.4411032
69047,DPW Maintained,Prunus serrulata :: Ornamental Cherry,3627 Irving St,1,Sidewalk: Curb side : Cutout,Private,1/6/1994,1,,37.76260829,-122.4970377
42252,DPW Maintained,Celtis sinensis :: Chinese Hackberry,151 Russ St,1,Sidewalk: Curb side : Cutout,Private,6/11/2008,2,3x3,37.77823994,-122.4073834
58967,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,208 03rd Ave,1,Sidewalk: Curb side : Cutout,Private,2/7/1984,15,,37.78469768,-122.4612431
83774,Permitted Site,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,439 Kirkham St,1,Sidewalk: Curb side : Cutout,Private,6/16/2008,,3x3,37.76026865,-122.4653979
220251,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1421 Diamond St,1,Sidewalk: Curb side : Cutout,Private,6/8/2019,3,3x3,37.74600796,-122.4357263
45413,Permitted Site,Dodonaea viscosa :: Hop Bush,845 Head St,1,Sidewalk: Curb side : Cutout,Private,7/11/2001,,,37.72267031,-122.4632278
30116,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,499X Brotherhood Way,13,Sidewalk: Curb side : Cutout,DPW,3/10/2007,3,,37.71233101,-122.4670069
43019,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',247 Rose St,1,Sidewalk: Curb side : Cutout,Private,12/29/2014,3,3x3,37.77324042,-122.4247227
51093,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,70 Waterville St,1,Sidewalk: Curb side : Cutout,Private,7/26/2004,4,,37.73510363,-122.4028123
32855,Permitted Site,Ginkgo biloba :: Maidenhair Tree,121 Hoffman Ave,2,Sidewalk: Curb side : Cutout,Private,10/30/1996,,,37.75313098,-122.4407459
117119,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,447 Spruce St,1,Sidewalk: Curb side : Cutout,Private,8/30/2016,3,5x9,37.78671052,-122.4535389
94075,Permitted Site,Crataegus laevigata :: English Hawthorn,629 Los Palmos Dr,1,Sidewalk: Curb side : Cutout,Private,6/2/2010,,2x4,37.73483202,-122.4558625
86584,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2591 27th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/5/2007,3,3x3,37.73917821,-122.484098
26307,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,2000X San Jose Ave,10,Sidewalk: Curb side : Cutout,Rec/Park,7/6/1998,3,3X3,37.72580676,-122.4424794
25550,DPW Maintained,Melaleuca quinquenervia :: Cajeput,1 Industrial St,1,Sidewalk: Curb side : Cutout,Private,6/11/1997,8,3X3,37.73966994,-122.4004789
